Price,ID,Eye Colour,Fur,Pattern,Eye Shape,Accent Color,Highlight Color,Mouth,Base Color,Wild Element,Likes,Cooldown,gen
0.085,1294689,mintgreen,birman,amur,thicccbrowz,purplehaze,egyptiankohl,whixtensions,hintomint,,0,Fast Cooldown ,1
0.0861,1297202,strawberry,munchkin,spock,wingtips,icy,coffee,pouty,mauveover,,0,Slow Cooldown ,15
0.087,1292118,cyan,siberian,amur,serpent,frosting,poisonberry,soserious,cinderella,,0,Swift Cooldown ,2
0.087,1292130,doridnudibranch,chantilly,rorschach,thicccbrowz,sandalwood,royalpurple,fangtastic,brownies,,0,Swift Cooldown ,3
0.087,1292364,cyan,siberian,amur,wiley,kalahari,padparadscha,pouty,cottoncandy,,0,Swift Cooldown ,3
0.087,1291976,sapphire,koladiviya,tiger,slyboots,kalahari,egyptiankohl,pouty,tundra,,0,Fast Cooldown ,1
0.0871,1293446,limegreen,ragdoll,totesbasic,sass,frosting,lemonade,confuzzled,cinderella,elk,0,Snappy Cooldown ,7
0.0872,1292216,limegreen,ragdoll,rorschach,wiley,belleblue,barkbrown,happygokitty,cottoncandy,,0,Snappy Cooldown ,7
0.0873,1291494,sizzurp,selkirk,calicool,wiley,cashewmilk,swampgreen,pouty,salmon,elk,0,Plodding Cooldown ,11
0.0875,1377491,thundergrey,ragdoll,spangled,crazy,purplehaze,poisonberry,rollercoaster,nachocheez,,0,Snappy Cooldown ,3
0.0876,1399407,sapphire,fox,tiger,wiley,belleblue,butterscotch,happygokitty,greymatter,,0,Snappy Cooldown ,7
0.0877,1290997,sapphire,ragdoll,totesbasic,stunned,belleblue,coffee,beard,cinderella,,0,Swift Cooldown ,5
0.0877,1290684,cyan,siberian,amur,serpent,frosting,butterscotch,rollercoaster,brownies,,0,Swift Cooldown ,2
